sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr,nic
,12,1399.3,74.3,335.3,,GENESYS INTERNATIONAL CORPN. LTD.,79.0,3.5,,80856,20110331,435.3,158.9,472.1,,,948.5,80.0,1648.0,,33.9,62013.0
,12,7023.2,0.5,316.4,,K P I T TECHNOLOGIES LTD.,,,,122948,20110331,505.6,0.8,694.9,12.8,132.3,5276.4,77.3,8106.0,,10.8,62013.0
,12,413.45,,20.6,,USHA MARTIN EDUCATION & SOLUTIONS LTD.,,,,259020,20110331,,,15.7,,,125.7,,234.2,,,62013.0
104.4,12,94679.05,0.0,14834.5,,H C L TECHNOLOGIES LTD.,0.0,,14.3,88258,20110630,,,11982.2,0.0,931.6,67944.8,0.0,97766.6,,0.0,62013.0
,12,9930.0,,-330.3,,TV18 BROADCAST LTD.,0.4,0.3,,371246,20110331,22.0,0.2,-492.5,13.0,,2526.5,1.3,10630.5,,5.6,59122.0
681.0,12,36289.55,-1.6,3450.0,,ZEE ENTERTAINMENT ENTERPRISES LTD.,,,,275062,20110331,52.9,-7.4,5764.0,-50.0,,21700.0,118.4,36243.0,,-3.8,59122.0
91.2,12,27008.0,0.0,11413.7,,SUN T V NETWORK LTD.,,,0.0,239792,20110331,10.3,,7722.2,0.0,,19304.0,10.3,28853.3,,0.0,59122.0
1004.3,12,19460.9,14.4,2752.1,,H T MEDIA LTD.,,,,348129,20110331,198.0,-1.6,1775.9,155.5,,12132.2,29.9,20500.1,,-0.2,58131.0
122.0,12,15766.6,0.0,2630.1,,D B CORP LTD.,0.0,0.0,,377259,20110331,,,2673.2,0.0,,12564.7,0.0,16802.2,,0.0,58131.0
,12,13582.9,,2256.9,,JAGRAN PRAKASHAN LTD.,,,6.1,105523,20110331,,,2058.3,,,11153.3,,15218.6,,,58131.0
18.0,12,20103.4,689.3,4097.9,,INDRAPRASTHA GAS LTD.,9.2,,,99905,20110331,6107.5,11.6,2597.7,5288.1,,19689.6,8.9,23942.3,,,52109.0
,12,69500.25,10.5,8441.4,,PETRONET L N G LTD.,,,,174683,20110331,42.3,12.9,6196.2,17.4,,131972.9,,79377.1,,1.5,52109.0
2.0,12,3589.95,8.7,371.3,,AEGIS LOGISTICS LTD.,,,,7068,20110331,196.3,14.6,312.2,144.2,,2581.3,30.4,3923.2,,-1.6,52109.0
0.6,12,256.7,,-32.5,,SPECTACLE VENTURES LTD.,,,6.2,119829,20110331,0.1,0.1,5.7,,,1530.2,,433.4,,,46909.0
546.0,12,6825.5,0.0,77.8,,SPICE MOBILITY LTD.,9.3,,,232983,20110331,52.2,4.5,781.3,18.7,,9454.2,4.9,9069.4,,14.8,46909.0
,12,157106.1,3.2,-998.8,,M M T C LTD.,5.0,,0.8,132144,20110331,10.2,2.7,1216.4,0.0,,689910.4,,195047.9,,-0.7,46909.0
,12,6906.25,-0.7,526.4,,3M INDIA LTD.,10.6,,,36277,20110331,190.3,,988.1,179.5,180.6,12348.9,0.9,7616.8,,,46909.0
48.8,12,98569.35,392.5,-4074.6,,ADANI ENTERPRISES LTD.,6.7,2.5,65.6,5747,20110331,878.8,24.4,2691.1,-3.2,,29129.6,310.7,116502.3,,84.7,46102.0
,12,3472.6,,68.0,,SKIL INFRASTRUCTURE LTD.,0.4,,,95119,20110331,1.3,0.1,58.2,,,2626.4,,4121.1,,0.8,46102.0
12.2,12,4066.5,,832.7,,SUNTECK REALTY LTD.,0.0,,0.0,101293,20110331,,,63.3,,,108.8,0.0,4040.5,,,46102.0
,12,31308.7,16.9,2739.0,,G E POWER INDIA LTD.,,,2481.2,12011,20110331,519.2,2.1,1691.6,488.4,,16086.1,11.4,31967.7,,0.4,46102.0
93.4,12,18867.8,2347.7,2546.5,,OBEROI REALTY LTD.,29.4,211.3,,120889,20110331,4221.4,421.4,1707.1,677.6,,3419.6,39.5,25365.9,,11.2,41001.0
1.6,12,5868.4,,-323.8,,M V L LTD.,0.3,,,375572,20111231,5.1,0.7,144.1,,,1657.8,0.0,6381.5,,4.1,41001.0
165.0,12,318707.2,1000.1,14974.1,,D L F LTD.,,,0.0,53993,20110331,1464.0,205.7,12695.8,,,29119.6,14.5,347905.6,,2.2,41001.0
,12,45012.0,265.1,3410.1,,BHARAT FORGE LTD.,,164.5,,33750,20110331,1715.6,26.0,3108.3,1247.5,61.4,31034.0,,44869.6,,13.5,30913.0
,12,4537.7,40.3,1226.1,,JAMNA AUTO INDS. LTD.,2.9,,,107169,20110331,313.4,3.2,424.8,259.2,1.5,8996.5,5.0,5125.8,,0.7,30913.0
,12,4329.7,27.7,721.0,,AUTOMOTIVE AXLES LTD.,,,,24976,20110930,358.3,24.8,575.6,305.0,,11553.0,,4907.0,,0.8,30913.0
934.0,12,72478.35,13.6,4446.0,,BOSCH LTD.,,,9.0,149711,20111231,3973.6,,11231.0,3192.5,805.0,86860.0,,71576.0,,48.7,30913.0
,12,4534.4,8.1,492.1,,WABCO INDIA LTD.,,,0.2,374456,20110331,140.9,9.4,1274.3,96.9,88.6,9807.0,1.6,5194.3,,-1.0,30913.0
,12,21805.1,,1244.0,,MOTHERSON SUMI SYSTEMS LTD.,,,26.0,149616,20110331,,,2875.0,,101.0,30840.0,,24973.0,,,30913.0
,12,4900.8,53.6,333.3,,DYNAMATIC TECHNOLOGIES LTD.,0.0,5.4,,64150,20110331,626.1,6.3,148.4,311.5,54.1,3896.8,0.0,5700.5,,53.9,30913.0
0.9,12,1293.35,,213.8,,LUMAX AUTO TECHNOLOGIES LTD.,,,0.5,59736,20110331,,,179.0,,3.8,3581.7,,1569.2,,,30913.0
154.0,12,120152.25,0.0,107.0,,SIEMENS LTD.,,,165.0,226821,20110930,4513.1,,8454.0,4076.5,124.0,122556.0,0.0,126203.0,,4.0,28199.0
719.9,12,19483.6,,3416.3,,HAVELLS INDIA LTD.,,,5.4,91512,20110331,,,2420.5,,74.2,31788.9,,21794.0,,,28199.0
,12,610626.1,0.0,26586.1,,BHARAT HEAVY ELECTRICALS LTD.,0.0,0.0,42.7,33769,20110331,,,60112.0,0.0,9439.9,440028.1,0.0,677157.4,0.0,0.0,28199.0
244.9,12,35177.25,172.6,86.6,,VOLTAS LTD.,,,458.3,269920,20110331,315.1,4.4,3535.3,121.5,64.4,51816.9,,38711.8,,16.6,28199.0
,12,63634.1,620.8,1180.8,,A B B INDIA LTD.,,,0.0,21420,20111231,4675.3,80.8,1847.0,2265.9,4.0,77722.6,-6.8,66765.3,,1.7,28199.0
,12,26493.3,302.0,4292.5,,CUMMINS INDIA LTD.,,,,52835,20110331,913.4,8.8,5909.9,578.8,326.9,42878.5,,29070.8,,-0.7,28110.0
45.8,9,9931.15,57.7,1104.3,,GREAVES COTTON LTD.,,,75.9,85647,20110331,408.4,-21.3,1272.8,183.5,108.4,13700.6,1.0,11108.7,,-1.5,28110.0
,12,1910.4,0.7,294.0,,SWARAJ ENGINES LTD.,,,,244486,20110331,1.6,,439.1,,22.9,3980.4,,2133.6,,0.9,28110.0
91.9,12,1287.45,5.3,35.4,,SYMPHONY LTD.,-1.4,,,245363,20110630,190.7,-1.5,449.3,25.0,5.0,2335.9,,1479.6,,0.1,27501.0
700.1,12,13226.4,25.5,2053.0,,WHIRLPOOL OF INDIA LTD.,,,2.8,272097,20110331,691.7,64.9,1660.3,558.2,312.3,29290.0,33.1,13828.9,,-8.9,27501.0
148.5,12,22651.3,26.3,-749.7,,BLUE STAR LTD.,9.9,,27.9,37079,20110331,221.8,26.0,1550.0,121.5,162.7,28881.1,1.5,26221.7,,12.3,27501.0
,12,974.25,,-339.8,,METKORE ALLOYS & INDS. LTD.,,,,371197,20110331,36.0,0.4,133.9,35.6,,1823.7,,1319.4,,0.0,24104.0
,12,233339.4,4588.8,13954.1,,JINDAL STEEL & POWER LTD.,,2077.6,21.3,109856,20110331,40350.2,259.3,20641.2,32394.8,58.0,104609.7,23.0,264910.5,,148.8,24104.0
269.2,12,23001.2,182.3,2610.3,,T I FINANCIAL HOLDINGS LTD.,,,206.0,254924,20110331,776.6,-5.5,1696.6,587.5,88.1,32691.6,,23952.1,,4.4,24104.0
2.3,12,9296.5,,-173.4,,RAIN INDUSTRIES LTD.,,,,182265,20111231,,,294.7,,,2395.4,,9504.0,,,23942.0
,12,49951.65,0.0,10741.5,,SHREE CEMENT LTD.,,,0.0,222402,20110331,,,2097.0,0.0,83.1,39377.9,0.0,49461.7,0.0,0.0,23942.0
1069.0,12,122019.95,1614.9,15713.1,,A C C LTD.,,,0.0,23354,20111231,15684.2,195.9,13267.5,12949.4,55.8,105045.9,4.3,121652.6,545.1,-8.4,23942.0
178.7,12,13091.0,458.6,2137.2,,SUPREME INDUSTRIES LTD.,,,44.5,242022,20110630,2361.0,105.3,1749.7,1704.1,,24638.4,0.0,14697.6,,15.2,22209.0
,12,2966.0,11.5,461.2,,ASTRAL POLY TECHNIK LTD.,,,,23696,20110331,267.7,5.8,335.9,205.8,2.3,4367.7,,3341.9,,0.9,22209.0
112.3,12,47883.05,,2037.1,,JAIN IRRIGATION SYSTEMS LTD.,,,8.8,106263,20110331,,,2952.6,,102.9,34271.7,,53919.0,,,22209.0
,12,33297.0,218.0,5595.0,,CADILA HEALTHCARE LTD.,,,8.0,41246,20110331,1758.0,48.0,6104.0,1207.0,2543.0,23597.0,,36345.0,,33.0,21002.0
,12,40493.2,0.9,3215.6,,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,,,,82150,20111231,-467.5,-22.6,4306.0,-444.6,38.3,24686.7,,30256.9,,-1.2,21002.0
,12,71152.4,161.4,12338.0,,SUN PHARMACEUTICAL INDS. LTD.,,,15.1,239726,20110331,1090.0,12.4,13838.0,900.4,1572.8,20046.4,,76211.5,,15.8,21002.0
,12,30988.2,,4210.6,,GLENMARK PHARMACEUTICALS LTD.,,,,82197,20110331,,,2121.8,,569.2,12216.4,,34034.6,,,21002.0
843.2,12,11214.45,333.5,240.7,,ABBOTT INDIA LTD.,,,7.9,121704,20111231,627.6,,1205.3,89.4,12.2,15034.9,21.4,13739.0,,-4.8,21002.0
,15,2776.35,,645.0,,ASTRAZENECA PHARMA INDIA LTD.,,,,23709,20110331,17.2,3.2,641.3,12.7,32.2,6054.5,,3161.0,,1.3,21002.0
,12,21752.4,264.4,2332.9,,TORRENT PHARMACEUTICALS LTD.,,29.8,,252196,20110331,1131.4,74.5,2908.6,587.7,1385.7,17550.0,47.6,22473.5,,9.8,21002.0
451.7,12,6448.65,17.8,187.9,,MERCK LTD.,,,1.6,64644,20111231,126.8,16.6,636.8,90.6,31.0,5980.3,1.6,8553.4,,0.2,21002.0
,12,33189.7,15.4,4799.0,,WOCKHARDT LTD.,19.1,,37.5,272854,20110331,1063.4,-0.2,-1320.7,221.9,332.7,17589.0,16.9,33812.3,,-5.9,21002.0
,12,87490.4,3514.6,9873.4,,CIPLA LTD.,,,107.0,47858,20110331,10335.5,105.2,9603.9,6673.1,2597.9,64003.8,,89881.9,,12.4,21002.0
800.2,12,14644.15,20.7,2050.2,,SANOFI INDIA LTD.,10.6,,,25290,20111231,5924.3,11.4,1911.9,139.9,40.1,13254.1,8.1,15272.6,,0.6,21002.0
641.5,16,22329.0,6.6,801.5,,PFIZER LTD.,,,1594.9,174726,20110331,-95.9,,2263.4,0.4,103.8,11298.5,,23912.4,,-9.3,21002.0
86.6,12,10010.85,52.0,500.3,,FRESENIUS KABI ONCOLOGY LTD.,48.8,,,347662,20110331,791.4,261.3,492.4,412.4,514.5,4257.5,,10703.5,,2.7,21002.0
,12,17722.85,95.7,2145.7,,IPCA LABORATORIES LTD.,,,1.6,102576,20110331,1071.1,134.8,2553.7,755.2,642.6,19310.6,16.3,19185.9,,45.1,21002.0
210.0,12,96520.0,,2463.0,,DR. REDDY'S LABORATORIES LTD.,,,,62987,20110331,,,8934.0,,5457.0,57779.0,,102673.0,,,21002.0
,12,2283.9,,72.5,,SHALIMAR PAINTS LTD.,,,,218257,20110331,,,116.7,,12.9,4414.7,,2530.4,,,20221.0
2823.5,12,42562.8,,7432.5,,ASIAN PAINTS LTD.,,,19.0,22859,20110331,,,7751.5,,322.3,72582.9,,38891.7,,,20221.0
821.1,12,13789.55,47.2,1250.2,,KANSAI NEROLAC PAINTS LTD.,,,9.4,84205,20110331,366.3,40.0,2059.9,242.8,115.1,24934.5,37.1,14759.7,,-0.8,20221.0
913.0,12,14800.0,22.0,585.0,,AKZO NOBEL INDIA LTD.,34.0,,113.0,96407,20110331,254.0,18.0,1766.0,179.0,44.0,11936.0,,15618.0,,1.0,20221.0
1032.0,12,11232.0,7.4,1146.0,,BERGER PAINTS INDIA LTD.,,,2.0,32433,20110331,388.6,13.3,1483.0,318.0,24.9,23068.0,1.6,12212.0,,0.6,20221.0
64.9,12,3269.35,,-137.6,,DHANUKA AGRITECH LTD.,,,0.7,59898,20110331,5.8,,511.1,,9.7,5412.3,,3578.8,,,20219.0
169.4,12,5112.7,,896.0,,MONSANTO INDIA LTD.,,,,148911,20110331,,,428.3,,27.6,3747.1,,4844.5,,,20219.0
155.5,12,5813.45,63.0,185.4,,P I INDUSTRIES LTD.,,,812.5,166523,20110331,679.0,3.0,641.2,611.0,55.4,7548.2,4.0,6991.8,,-2.0,20219.0
1064.0,12,17705.65,385.0,3823.0,,BAYER CROPSCIENCE LTD.,,,20.0,31364,20110331,715.0,68.0,1316.0,165.0,133.0,22259.0,31.0,20485.0,,66.0,20219.0
,12,22063.55,21.1,3676.0,,CHEMPLAST SANMAR LTD.,,,94.9,45862,20110331,-83.8,6.3,-421.9,-118.3,,20557.0,,22132.0,,1.9,20131.0
0.2,12,7466.2,6.4,-149.2,,INEOS STYROLUTION INDIA LTD.,,,,31365,20111231,65.0,1.7,539.7,56.9,9.6,9099.7,,7965.8,,0.0,20131.0
,12,3016.0,0.7,259.3,,BHANSALI ENGINEERING POLYMERS LTD.,,,,33537,20110331,129.5,2.9,334.1,118.7,,5100.5,,4275.4,,7.2,20131.0
,12,8816.35,-8.6,875.8,,RALLIS INDIA LTD.,,,2.7,192276,20110331,736.4,4.0,1262.1,528.2,90.0,11463.1,0.0,9910.4,,-5.2,20119.0
94.2,12,20862.4,45.3,1093.7,,GODREJ INDUSTRIES LTD.,,,248.3,83018,20110331,267.4,9.6,1334.3,33.1,28.7,11264.2,3.8,22860.4,,22.1,20119.0
859.1,12,19335.75,55.0,2980.0,,PIDILITE INDUSTRIES LTD.,,,,175214,20110331,77.7,24.1,3038.9,4.5,106.0,24998.3,,20190.1,,-25.9,20119.0
122.8,12,22391.95,-26.3,5519.7,,BOMBAY DYEING & MFG. CO. LTD.,,,,37451,20110331,67.0,86.5,213.9,5.6,,19717.2,3.6,28113.3,,-1.9,20119.0
,12,15600.55,451.3,1563.5,,B A S F INDIA LTD.,,,114.0,26076,20110331,1328.6,57.4,1178.3,576.6,104.5,32330.7,,18311.8,,16.2,20119.0
111.8,12,2368.3,35.0,366.7,,KEWAL KIRAN CLOTHING LTD.,6.7,,1.1,119632,20110331,59.3,3.9,462.3,13.3,,2376.2,,2523.9,,0.4,14109.0
123.1,12,3072.6,-1.0,-1.5,,PAGE INDUSTRIES LTD.,0.0,,,168589,20110331,56.3,32.7,585.5,0.0,,4997.7,0.0,3408.9,,14.3,14109.0
76.5,12,490.25,,-483.3,,INDIAN TERRAIN FASHIONS LTD.,2.6,2.9,,388826,20110331,96.1,73.5,63.1,8.2,,1223.7,1.6,980.0,,7.3,14109.0
,12,2365.25,0.0,14.4,,ZODIAC CLOTHING CO. LTD.,0.0,0.0,,275551,20110331,,,233.0,0.0,,2920.5,0.0,2453.1,,,14109.0
,12,4137.95,0.4,138.8,,MARAL OVERSEAS LTD.,,,1.4,139826,20110331,48.9,1.6,128.7,43.4,9.8,5106.9,0.0,4411.7,,3.5,13131.0
,12,3810.9,-4.1,109.7,,MALWA COTTON SPG. MILLS LTD.,,,33.2,137554,20110331,15.5,1.0,36.3,16.4,7.3,4550.4,0.7,3898.3,,1.5,13131.0
,12,1502.95,5.1,110.4,,LAKSHMI MILLS CO. LTD.,0.9,6.4,16.5,126400,20110331,-83.0,0.5,53.4,-95.0,,1765.4,0.0,2529.4,,-0.9,13131.0
,12,6056.45,,847.8,,V S T INDUSTRIES LTD.,,,5.6,260926,20110331,239.4,,950.1,238.5,33.2,13996.5,,6502.9,,0.7,12003.0
,12,3527.05,,-366.2,,GOLDEN TOBACCO LTD.,,,129.4,77393,20110331,-24.7,,-338.8,-12.4,12.6,1562.9,,4061.0,,-1.9,12003.0
2419.4,12,12229.45,95.0,2453.3,,GODFREY PHILLIPS INDIA LTD.,15.4,4.4,,82982,20110331,717.0,16.5,1660.3,548.6,85.6,30723.1,9.8,13761.7,,7.6,12003.0
6235.9,12,245770.5,1299.2,53326.9,,I T C LTD.,,,,97066,20110331,7400.3,-119.0,49882.1,5138.2,902.4,308192.8,576.7,258714.0,5.5,18.9,12003.0
,12,13952.55,0.0,562.2,,GOKUL REFOILS & SOLVENT LTD.,0.0,,,83294,20110331,,,619.8,0.0,,45420.8,0.0,15278.6,,0.0,10402.0
2136.5,12,15903.2,,1962.3,,MARICO LTD.,,,500.8,140097,20110331,,,3153.2,,75.3,23582.3,,19355.3,,,10402.0
469.1,12,2845.0,21.4,-423.9,,AGRO TECH FOODS LTD.,,,174.8,8183,20110331,96.5,17.7,317.8,104.2,25.9,7189.9,,2827.9,,0.9,10402.0
146.5,12,1923.45,52.3,238.2,,KOKUYO CAMLIN LTD.,,,,41764,20110331,55.5,0.9,85.9,,4.6,3669.0,,2005.6,,2.3,34.0
784.7,12,538943.35,5237.0,38401.1,,LARSEN & TOUBRO LTD.,,,2143.1,127106,20110331,16334.1,157.4,39573.2,9898.7,682.6,442291.5,497.5,594625.4,,336.2,34.0
141.6,12,23898.9,839.8,-254.8,,RELIANCE MEDIAWORKS LTD.,,,270.1,6484,20110331,820.6,-51.5,-2562.1,,,5258.9,32.3,23447.6,,,34.0
,12,1917.85,,406.6,,NELCO LTD.,,0.3,29.2,157438,20110930,92.3,78.1,-165.4,10.1,,1136.0,2.7,1909.6,,1.1,34.0
,12,4755.1,16.1,204.7,,BOMBAY BURMAH TRDG. CORPN. LTD.,,,2.4,37410,20110331,177.0,1.7,765.4,122.8,0.2,3240.8,0.0,5220.3,,12.6,34.0
