sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
34.9,12,1874.0,0.8,-2.0,,A D F FOODS LTD.,0.8,,80.3,783,20130331,313.7,0.5,155.9,11.1,1.0,1306.6,,2042.5,,0.4
0.1,12,57.7,,-6.5,,A D S DIAGNOSTIC LTD.,0.1,,,830,20130331,0.1,,-1.1,0.0,,55.9,,64.1,,
0.1,12,0.6,,-0.1,,A F ENTERPRISES LTD.,0.0,,,912,20130331,,,0.1,,,0.8,,0.8,,
1.4,12,12867.2,286.1,1654.4,,A I A ENGINEERING LTD.,,,4.1,1120,20130331,537.6,54.4,1691.0,183.7,,16448.8,11.3,14308.4,,-1.5
,12,1619.2,,92.0,,A INFRASTRUCTURE LTD.,0.2,,2.1,1144,20130331,-4.6,0.4,15.3,2.6,,2358.3,,1829.0,,0.8
5.0,12,4747.55,7.7,348.9,,A K CAPITAL SERVICES LTD.,0.4,,,1317,20130331,24.1,0.8,316.7,,,34.1,1.7,4826.9,,13.5
,12,343.95,,1.5,,S M S TECHSOFT (INDIA) LTD.,,,,1464,20130331,,,0.1,,,4.8,,344.0,,
,12,185.75,,,,A K S CREDITS LTD.,,,,1570,20130331,,,,,,,,179.0,,
0.1,12,313.5,0.4,-2.8,,A K SPINTEX LTD.,,,,1621,20130331,-2.4,0.2,0.6,-3.3,,335.2,,331.2,,0.3
0.2,12,2915.6,38.8,-184.2,0.7,A N G INDUSTRIES LTD.,14.1,0.9,0.0,2015,20130331,131.2,1.8,-122.3,85.0,,1440.5,,2817.3,,-10.1
0.1,12,186.35,0.0,-11.1,,A N S INDS. LTD.,,0.0,,2080,20130331,6.5,,5.3,1.2,,41.4,,191.3,,5.3
,12,1374.7,3.1,210.4,,A P M INDUSTRIES LTD.,,,1.9,2248,20130331,-4.3,1.0,220.6,-10.9,,2901.6,1.1,2131.9,,1.4
14.5,12,1028.0,1.0,15.7,,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,-0.9,,0.0,2384,20130331,14.0,-5.8,-33.3,21.8,,1159.8,0.1,1077.5,,-2.2
,12,9.6,,-0.7,,A R C FINANCE LTD.,,,,2448,20130331,,,-0.7,,,,,9.2,,
0.1,12,121.1,,6.7,,A R I CONSOLIDATED INVSTS. PVT. LTD.,,,,2513,20130331,-2.9,,9.6,-2.9,,,,118.9,,
760.9,12,28957.8,,6140.0,,DISH T V INDIA LTD.,21.0,,,2717,20130331,6521.3,5.0,-657.5,6112.8,,20071.5,48.5,31557.2,,334.0
1.3,12,1359.6,208.6,234.3,,ANIL SPECIAL STEEL INDS. LTD.,,,,2773,20130331,588.0,2.9,3.2,363.2,,1602.6,,1513.2,,0.5
4.2,12,533.95,5.8,35.6,,A S M TECHNOLOGIES LTD.,,3.2,,2842,20130331,24.5,7.9,89.0,9.8,0.0,906.2,,587.0,,-2.2
0.2,12,199.9,0.0,-67.0,,A T N INTERNATIONAL LTD.,,,,3052,20130331,,,-46.0,0.0,,2.8,,186.5,,
,12,3420.0,0.0,-0.4,,A T V PROJECTS INDIA LTD.,0.1,0.2,,3083,20130331,0.9,,12.7,0.9,,418.5,,3464.2,,0.0
,12,69.35,,25.1,,TAVERNIER RESOURCES LTD.,,,,3149,20130331,3.9,,7.0,0.0,,19.4,,74.3,,3.9
,12,7.05,,2.4,,A V I PHOTOCHEM LTD.,,,2.4,3194,20130331,,,3.1,,,10.9,,7.2,,
0.1,12,31.5,,4.0,,A V I POLYMERS LTD.,,,,3196,20130331,,,0.0,,,36.3,,26.7,,
,12,131.65,,8.9,,ZENITH STEEL TUBES & INDS. LTD.,,,,3303,20130331,1.6,,-28.1,1.6,,74.9,,117.4,,
0.5,12,1974.9,3.4,322.7,,A V T NATURAL PRODUCTS LTD.,,,0.1,3335,20130331,67.1,0.4,505.7,60.1,20.6,2580.5,,2138.8,,3.2
0.4,12,657.4,,-103.8,,PRISM INFORMATICS LTD.,4.6,,,3704,20130331,4.7,0.1,-78.5,,,221.6,,753.0,,
,12,224.5,,30.7,,JAINEX AAMCOL LTD.,,,0.1,3737,20130331,-6.0,,-1.3,-6.0,,124.4,,221.5,,0.0
,12,156.95,,9.3,,AANKIT GRANITES LTD.,,,,3768,20130331,,,-0.2,,,49.4,,158.8,,
0.1,12,969.8,2.9,30.9,,AAREY DRUGS & PHARMACEUTICALS LTD.,0.1,,,3889,20130331,7.1,0.1,6.6,4.0,,1724.3,,1071.1,,
11.9,12,6661.75,35.5,723.1,,AARTI DRUGS LTD.,,,0.0,3990,20130331,396.7,21.5,452.4,309.7,52.1,8857.5,,7197.3,,0.9
35.1,12,18212.85,130.6,2167.4,,AARTI INDUSTRIES LTD.,,,30.7,3998,20130331,2350.8,16.6,1313.4,1989.9,87.5,22713.1,3.8,20728.9,,10.3
0.3,12,7276.65,119.2,531.7,,AARVEE DENIMS & EXPORTS LTD.,0.0,6.4,,4024,20130331,415.5,4.2,450.2,279.1,,7236.8,-0.1,7500.8,,6.7
,12,6.55,,,,AASHEESH SECURITIES LTD.,,,,4053,20130331,,,-0.1,,,,,6.6,,
,12,16.55,,-1.1,,AASWA TRADING & EXPORTS LTD.,,,,4132,20130331,,,0.3,,,25.5,,16.7,,0.0
,12,0.15,,,,ABACUS COMPUTERS LTD.,,,,4210,20130331,,,0.0,,,,,0.3,,
6.6,12,47052.65,,3405.2,,ABAN OFFSHORE LTD.,,,9.3,4253,20130331,541.4,6.1,-126.3,534.4,,7973.6,,42187.7,,0.9
,12,77.0,,-2.1,,ABHIJIT TRADING CO. LTD.,,,,4483,20130331,,,0.0,,,,,77.0,,
,12,163.6,,-55.1,,ABHINAV CAPITAL SERVICES LTD.,,,,4581,20130331,,,-2.6,,,,,156.3,,0.0
,12,67.5,,-3.8,,ABHINAV LEASING & FINANCE LTD.,,,,4589,20130331,0.5,,0.6,,,,0.5,69.2,,
1163.5,12,17259.0,56.6,-660.4,,RADICO KHAITAN LTD.,,,4.0,4671,20130331,567.7,2.8,772.8,466.5,,24823.2,8.5,18215.1,,6.9
,12,2928.75,,411.6,,ABHISHEK CORPORATION LTD.,,,,4680,20130331,,,-664.7,,,264.4,,2885.1,,
64.7,12,34227.9,137.8,3802.9,,TRIDENT LTD.,16.9,,36.4,4709,20130331,733.6,47.0,493.3,473.6,,33778.3,0.6,34176.9,,-13.0
0.1,12,83.7,1.1,-0.2,,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,0.0,0.1,,4831,20130331,1.5,0.3,4.1,,,5.4,,83.6,,
5.6,12,3239.75,,391.1,,ACCEL FRONTLINE LTD.,33.6,,,5003,20130331,37.3,0.7,28.0,3.1,,3264.5,24.1,3261.2,,-2.4
0.0,12,2454.25,0.0,-243.4,,ACCURATE TRANSFORMERS LTD.,0.1,0.0,0.0,5206,20130331,2.1,0.5,-1.7,0.6,,2004.9,,2544.9,,0.9
,12,149.7,0.5,1.2,,ACE SOFTWARE EXPORTS LTD.,0.7,,,5284,20130331,3.3,0.4,3.9,,,38.6,0.3,151.7,,1.4
,12,731.65,1.6,8.0,,ACKNIT INDUSTRIES LTD.,0.2,1.2,,5396,20130331,6.9,1.8,15.3,2.1,,979.5,,765.6,,0.0
47.2,12,9355.0,0.0,392.3,,PROVOGUE (INDIA) LTD.,0.6,,0.0,5417,20130331,-62.5,-61.9,128.9,1.4,,5372.1,0.3,9370.7,,-2.9
0.2,12,129.85,1.0,-8.3,,ACROW INDIA LTD.,,,,5568,20130331,1.8,0.1,0.4,0.7,,16.4,,125.9,,0.0
14.0,12,671.85,10.2,29.4,,ACRYSIL LTD.,,,3.2,5574,20130331,77.4,9.3,55.0,53.3,0.7,789.3,0.4,762.8,,3.2
5.3,12,293.4,0.0,-75.1,,ACTION FINANCIAL SERVICES (INDIA) LTD.,7.8,,0.0,5596,20130331,11.9,0.4,0.9,,,0.1,2.5,335.2,,
,12,1272.95,,281.7,,AD-MANUM FINANCE LTD.,,,1.1,5695,20130331,0.7,0.7,82.7,0.1,,14.7,,1283.6,,-0.1
,12,172831.85,164.3,-438.3,,ADANI ENTERPRISES LTD.,24.1,13.3,62.7,5747,20130331,244.1,49.7,5450.2,-32.5,,118867.7,,203514.8,,16.5
,12,370509.45,1741.6,,,ADANI POWER LTD.,31.1,,70.1,5757,20130331,105985.0,31.3,-19520.3,104096.7,,63401.3,5.7,379833.9,,23.7
0.3,12,2659.85,4.6,150.4,,VIKAS GRANARIES LTD.,,,,5802,20130331,4.3,0.1,91.3,1.3,,2185.9,,2576.8,,0.3
,12,69.6,,-7.0,,ADARSH MERCANTILE LTD.,,,,5838,20130331,,,0.0,,,7.1,,71.2,,
,12,81.4,,-13.6,,ADARSH PLANT PROTECT LTD.,-0.2,0.0,6.3,5843,20130331,0.1,,-1.5,0.3,,30.8,,88.7,,
,12,33.55,,1.4,,ADCON CAPITAL SERVICES LTD.,,,,5888,20130331,,,0.4,,,,,33.7,,
,12,194.6,-7.7,47.5,,ADDI INDUSTRIES LTD.,-9.1,-7.8,36.4,5921,20130331,-137.2,,22.4,-109.2,,2.0,,204.3,,-2.2
,12,260.55,,-17.7,,ACIL COTTON INDS. LTD.,,,,5994,20130331,,,-0.3,,,8.7,,253.0,,
0.0,12,59.05,,0.0,,ADHARSHILA CAPITAL SERVICES LTD.,,,,6011,20130331,,,-0.5,,,,,58.7,,
0.1,12,939.1,,10.1,,ADHBHUT INFRASTRUCTURE LTD.,,,,6016,20130630,,,5.3,,,14.5,,1373.9,,
,12,4.75,,0.0,,ADI RASAYAN LTD.,,,,6097,20130331,,,0.0,,,3.6,,6.3,,
0.1,12,68.95,,1.1,,ADINATH EXIM RESOURCES LTD.,,,,6136,20130331,,,1.3,,,,,69.6,,
0.1,12,55.2,,-8.7,,ADINATH TEXTILES LTD.,,,,6166,20130331,0.0,0.0,7.5,,,95.1,,47.7,,0.0
,12,32.45,,,,BLUE CLOUD SOFTECH SOLUTIONS LTD.,,,,6226,20130331,,,0.6,,,9.5,,31.7,,
,12,15.35,,0.4,,ADITYA ELECTRO COMMUNICATIONS LTD.,,,,6318,20130331,,,0.0,,,1.4,,16.0,,
,12,153.5,0.1,7.1,,ADITYA FORGE LTD.,0.1,0.2,,6342,20130331,3.1,0.5,-18.2,2.2,,186.6,,132.7,,
,12,4.6,,-7.0,,ARIS INTERNATIONAL LTD.,,,,6347,20130331,,,-1.2,,,0.5,,9.0,,
,12,139.85,1.5,11.7,,ADITYA ISPAT LTD.,-0.3,0.0,,6348,20130331,2.8,-1.1,2.3,1.8,,218.4,,144.6,,0.0
,12,366.35,,,,ADITYA INTERNATIONAL LTD.,,,,6364,20130331,,,0.4,,,,,354.5,,
,12,326.25,,21.7,,NITIN CASTINGS LTD.,,,,6374,20130331,0.3,0.1,14.3,0.2,,388.6,,346.1,,0.0
,12,39.95,-0.1,-1.3,,ADITYA MILLS LTD.,,,0.4,6385,20130331,-0.1,,6.2,,,11.2,,50.3,,
0.1,12,152.05,,27.0,,ADITYA SPINNERS LTD.,0.1,,,6431,20130331,4.4,,9.2,4.2,,371.3,,158.4,,0.1
,12,1108.1,45.4,66.1,,ADOR FONTECH LTD.,0.2,0.1,73.6,6584,20130331,59.0,1.7,207.0,6.9,,1604.9,,1182.4,,2.7
0.1,12,67.9,0.2,-0.7,,ADOR MULTIPRODUCTS LTD.,,,0.0,6585,20130331,1.3,0.4,-4.5,0.0,,128.0,,68.1,,
,12,97.6,,,,ADVANCE BIO-COAL (INDIA) LTD.,,,,6697,20130331,,,,,,,,97.6,,
,12,117.55,6.2,49.2,,ADVANCE MULTITECH LTD.,,,0.1,6767,20130331,51.3,,1.5,45.9,,73.6,,134.6,,-0.8
0.3,12,57.5,,14.4,,ADVANCE PETROCHEMICALS LTD.,0.1,,0.0,6773,20130331,0.5,,0.8,0.3,,97.5,,64.9,,0.1
0.0,12,212.5,0.2,,,ADVANCE SYNTEX LTD.,,,0.6,6793,20130331,4.4,0.2,10.5,4.0,,319.7,,240.1,,
,12,2137.35,122.2,178.6,,ADVANCED ENZYME TECHNOLOGIES LTD.,2.0,,,6819,20130331,731.6,10.6,234.2,586.1,82.4,1506.1,0.2,2353.8,,0.0
1.2,12,670.7,0.0,-48.6,,ADVANCED MICRONIC DEVICES LTD.,,0.7,0.0,6871,20130331,-0.1,0.6,-48.9,-0.4,,452.8,,697.8,,-1.0
7.9,12,601.65,15.3,76.4,,ADVANI HOTELS & RESORTS (INDIA) LTD.,,,,6916,20130331,34.2,2.3,26.3,16.4,,386.8,0.0,612.5,,-1.7
13.8,12,2573.45,70.4,169.2,,ADOR WELDING LTD.,,12.2,,6923,20130331,141.2,16.8,190.8,39.0,44.9,4023.1,0.7,2809.0,,2.2
0.0,12,9151.0,0.3,341.4,,ADVANTA LTD. [MERGED],,,0.9,6926,20131231,18.1,2.1,46.5,12.6,71.4,832.8,,9339.4,,-2.2
,12,169.7,,0.1,,ADVENT COMPUTER SERVICES LTD.,,,,6953,20130331,,,-0.5,,,2.8,,169.6,,
0.1,12,267.65,,0.2,,ADVIK LABORATORIES LTD.,,,,7002,20130331,3.0,,5.0,1.8,,341.9,,294.5,,1.2
3.5,12,5027.0,301.0,473.9,,AEGIS LOGISTICS LTD.,,,,7068,20130331,344.2,9.7,400.7,27.2,,3830.7,4.3,5467.5,,2.0
,12,871.2,1.7,12.1,,LUDLOW JUTE & SPECIALITIES LTD.,,,1.4,7077,20130331,61.3,0.4,84.4,58.6,,2776.8,,941.6,,-0.9
0.1,12,975.65,-68.7,30.5,,AEONIAN INVESTMENTS CO. LTD.,,-2.2,105.1,7091,20130331,-78.0,-7.1,111.5,,,,,1021.2,,
,12,6337.7,,-7.2,,AFTEK LTD.,-246.8,,,7294,20130331,-912.5,-1.0,-251.9,,,1109.3,69.2,6177.3,,
,12,229.3,,-19.8,,WAGEND INFRA VENTURE LTD.,,,,7447,20130331,1.6,,5.9,,,120.4,,225.5,,1.6
,12,6420.5,0.1,562.7,,SHIRPUR GOLD REFINERY LTD.,0.5,0.5,,7633,20130331,36.7,0.5,22.8,35.1,,40133.2,,7079.9,,
,12,301.7,,,,AGRI-TECH (INDIA) LTD.,,,5.7,8083,20130331,-0.3,,-3.0,-0.3,,1.0,,281.1,,
0.5,12,572.1,0.0,-83.0,,AGRIMAS CHEMICALS LTD.,0.2,,,8122,20130331,0.9,0.2,1.6,0.5,,1134.3,,641.5,,0.0
,12,11.2,,,,AGRO CHEM PUNJAB LTD.,,,,8150,20130331,,,,,,,,11.2,,
,12,5034.95,0.0,2100.9,0.1,AGRO DUTCH INDS. LTD.,0.4,,3.9,8153,20130331,-4.2,,-998.6,2.8,,358.8,,4635.8,,-7.5
451.2,12,3119.15,7.2,176.9,,AGRO TECH FOODS LTD.,,,,8183,20130331,237.1,6.4,416.4,63.6,26.2,7881.5,159.8,3351.4,,-1.6
0.8,12,922.1,0.0,121.1,,AHLCON PARENTERALS (INDIA) LTD.,,,1.1,8306,20130331,-1.6,1.3,128.7,6.2,5.5,1188.0,0.1,978.4,,-9.2
0.8,12,10758.35,-2.5,-154.3,,AHLUWALIA CONTRACTS (INDIA) LTD.,1.4,,257.8,8312,20130331,2.8,4.3,-762.2,6.0,,13925.8,3.4,10425.4,,11.1
,12,1072.5,,536.8,,ADVANCE LIFESTYLES LTD.,,,,8336,20130331,,,2.4,,,5.1,,905.8,,
,12,45.2,,-44.9,,EXCEL CASTRONICS LTD.,,,,8360,20130331,,,0.6,,,16.7,,84.6,,
0.3,12,263.45,,-12.1,,AHMEDABAD STEELCRAFT LTD.,,,,8378,20130331,-0.4,,7.8,,,65.1,,264.8,,-0.4
0.4,15,26671.5,1077.8,6349.2,,METALYST FORGINGS LTD.,12.1,,8.5,8392,20130930,11211.6,608.4,1732.9,9503.4,,17184.9,,35558.0,,3.3
,12,27.3,,,,AHURA WELDING ELECTRODE MFRS. LTD.,,,,8468,20130331,,,-0.1,,,,,27.3,,
1.0,6,729.2,0.0,38.0,,AIMCO PESTICIDES LTD.,0.1,,0.0,8523,20130331,2.0,0.2,79.0,1.7,0.8,466.5,,488.2,,0.0
,12,196.4,5.2,,0.1,AIRAN LTD.,2.9,,,8628,20130331,10.4,0.8,9.7,,,,,198.6,,1.4
,15,0.05,,,,AIRCOMMAND AIRTECHNICS LTD.,,,,8645,20130630,,,0.0,,,0.2,,,,
,15,1.45,,,,AIRCOMMAND INDIA LTD.,,,,8646,20130630,,,0.0,,,0.1,,1.4,,
70.1,12,6474.55,126.3,2056.6,,AJANTA PHARMA LTD.,9.4,,0.3,8893,20130331,587.0,65.8,1011.2,262.8,373.1,8452.4,4.5,6760.5,,13.6
0.2,12,671.85,0.0,170.2,,AJANTA SOYA LTD.,,,,8909,20130331,67.8,0.7,5.2,68.4,,4195.3,,737.2,,-1.3
1.2,12,219.6,,-0.9,,AJCON GLOBAL SERVICES LTD.,1.2,0.2,,9167,20130331,4.6,1.9,7.0,,,52.7,,236.3,,1.3
,12,113.2,0.0,12.2,,AJWA FUN WORLD & RESORT LTD.,,,,9335,20130331,4.1,0.2,5.9,2.6,,60.2,,117.3,,1.3
,12,598.7,,0.0,,AFLOAT TEXTILE (INDIA) LTD.,,,,9356,20130331,,,-0.8,,,,,598.6,,
2.3,12,6170.8,,790.6,,OPTIEMUS INFRACOM LTD.,1.4,,,9395,20130331,5.9,0.4,306.1,2.8,,28315.7,,6862.3,,1.3
,12,1099.85,1.1,132.0,,AKAR TOOLS LTD.,,,,9431,20130331,14.6,0.9,9.3,12.6,,1554.5,,1089.2,,
2.3,12,266.9,0.0,52.9,,AKASH AGRO INDS. LTD.,,,,9457,20130331,6.9,0.2,12.7,2.3,,3407.5,,304.9,,0.1
,12,721.75,,,,AKASH INFRA-PROJECTS LTD.,,,,9505,20130331,29.5,29.5,64.1,,,,,894.3,,
,12,3.3,,0.1,,AKASHDEEP METAL INDS. LTD.,0.0,,,9553,20130331,,,0.1,,,,,3.3,,
,12,29425.65,,1130.3,,CORE EDUCATION & TECHNOLOGIES LTD.,11.1,-1.8,,9681,20130331,760.5,67.3,1586.0,,,11228.4,-32.2,31828.4,,-3.1
27.4,12,44731.2,0.0,888.6,,HUBTOWN LTD.,0.2,,0.0,9780,20130331,11.8,4.5,318.0,0.0,,2617.2,0.0,45111.4,,7.1
,12,4954.9,-17.5,-107.5,1.5,AKSH OPTIFIBRE LTD.,-0.9,-6.5,91.5,9793,20130331,-105.5,-2.2,259.4,-65.4,,2352.3,2.1,5030.7,,2.2
,12,42.1,,0.6,,ALACRITY HOUSING LTD.,,,,10133,20130331,,,-4.0,,,,,41.3,,
,12,308.05,,28.0,,ALACRITY SECURITIES LTD.,,,,10135,20130331,0.3,,-8.4,,,,,285.5,,0.3
0.0,12,6.6,,0.0,,SAI JEEVADHARA FINANCE LTD.,,,,10158,20130331,,,-0.2,,,,,6.6,,
0.5,12,6.3,,-3.3,,ALAN SCOTT INDS. LTD.,,,0.0,10220,20130331,,,0.3,,,,,6.2,,0.0
,12,53.75,,0.0,,ALANG INDUSTRIAL GASES LTD.,,,,10229,20130331,,,-0.1,,,,,61.1,,
,12,70.3,,-11.0,,ALANG MARINE LTD.,,,,10231,20130331,,,0.1,,,12.0,,77.9,,
108.7,12,2054.85,17.1,203.3,,ALBERT DAVID LTD.,0.8,,0.2,10376,20130331,128.9,25.7,85.6,83.1,24.7,2723.3,0.4,2052.9,0.8,1.0
1.8,15,1738.25,0.1,-69.7,,RHODIA SPECIALTY CHEMICALS INDIA LTD.,,,368.6,10397,20130331,66.9,15.9,368.6,52.1,,3098.8,,1722.4,,-0.4
19.5,12,2386.25,29.1,69.3,,SHRENO LTD.,,,0.0,10564,20130331,288.6,0.2,69.7,10.4,0.3,1964.8,,2405.4,,86.3
,12,3918.35,0.7,802.2,,ALEMBIC LTD.,,,0.0,10566,20130331,0.3,0.2,114.9,-0.6,13.5,1900.0,,3819.5,,
,12,302.75,,65.2,,ALFA ICA (INDIA) LTD.,0.0,0.3,0.5,10674,20130331,6.7,,5.0,2.8,,603.3,,293.6,,3.6
,12,10744.25,36.3,1234.2,,ALFA LAVAL (INDIA) LTD.,,,26.3,10678,20131231,90.3,-0.1,1354.3,49.4,,11686.0,1.9,11555.2,,-0.9
0.1,12,404.35,,64.3,,ALFA TRANSFORMERS LTD.,0.0,,0.1,10714,20130331,-0.8,-0.5,-35.6,0.0,,234.5,,379.8,,-0.3
0.0,12,104.7,,-16.5,,ALFAVISION OVERSEAS (INDIA) LTD.,0.1,,,10735,20130331,0.7,,2.1,0.5,,252.5,,106.5,,0.1
,12,285.3,0.0,18.0,,ALFRED HERBERT (INDIA) LTD.,,,2.3,10752,20130331,,,23.7,0.0,,9.6,,301.7,,
,12,150.85,,,,ALKA DIAMOND INDS. LTD.,,,,10853,20130331,,,1.9,,,191.4,,124.2,,
,12,184.55,,,,ALKA SECURITIES LTD.,,,,10866,20130331,,,-3.5,,,,,182.6,,
,12,441.0,,-4.3,,ALKA INDIA LTD.,,,,10867,20130930,-1.5,,-7.1,,,,,436.7,,-1.5
,12,1012.6,0.0,97.6,,ALKALI METALS LTD.,0.0,,0.0,10872,20130331,-0.2,0.5,47.6,0.0,16.3,654.2,0.0,1010.6,,-0.7
1986.4,12,36282.3,490.2,1254.6,,ALKEM LABORATORIES LTD.,,,8.3,10884,20130331,2127.1,109.5,4961.3,1443.1,945.3,24089.7,41.3,40616.2,,21.0
,12,3278.15,34.5,224.8,,ALKYL AMINES CHEMICALS LTD.,,6.1,0.0,10903,20130331,131.6,-0.8,239.3,90.9,33.6,3958.8,,3621.7,,0.9
284.6,12,1928353.85,111.9,,,ALLAHABAD BANK,,,0.9,11019,20130331,1111.0,947.6,11852.1,,,,51.5,2044291.5,,
,12,21062.2,160.0,2301.1,,ALLCARGO LOGISTICS LTD.,11.0,,36.3,11063,20130331,1306.4,20.3,1155.7,120.0,,10201.3,11.4,21447.2,,920.2
0.1,12,474.5,,59.5,,AVONMORE CAPITAL & MGMT. SERVICES LTD.,,,,11259,20130331,0.4,,-0.5,,,,,435.0,,
,12,1625.4,,-101.7,,ALMONDZ GLOBAL SECURITIES LTD.,-1.8,,,11262,20130331,-8.9,-5.7,0.2,,,114.8,-9.9,1553.5,,
,12,560.3,,-8.2,,RAP MEDIA LTD.,,,0.3,11284,20130331,-11.6,,-0.7,,,18.3,,553.2,,
6.3,12,8378.85,21.8,290.0,,ALLIED DIGITAL SERVICES LTD.,32.4,,,11303,20130331,303.4,54.6,-101.8,,,2361.3,0.1,8353.6,,-0.2
,12,1340.65,,121.8,,ALLSEC TECHNOLOGIES LTD.,-73.0,,,11443,20130331,-106.6,-21.4,-33.3,,,1079.8,9.1,1285.3,,4.7
0.2,12,709.2,,-31.4,,ALLSOFT CORPORATION LTD.,,0.0,,11445,20130331,,,0.8,0.0,,234.7,,577.5,,
,12,16.35,,-6.1,,ALNA TRADING & EXPORTS LTD.,,,,11554,20130331,,,0.2,,,12.7,,16.5,,
,18,257494.9,3838.5,-2717.3,,ALOK INDUSTRIES LTD.,23.6,,7.2,11599,20130930,19732.9,48.1,9201.6,15697.4,137.5,205581.2,6.0,257494.9,,12.3
,12,3.65,,,,ALORA TRADING CO. LTD.,,,,11654,20130331,,,0.0,,,,,3.4,,
,12,1274.95,514.9,25.6,,ALPA LABORATORIES LTD.,1.2,25.5,,11664,20130331,755.0,55.2,-43.7,156.1,,598.5,,1245.7,,1.1
,12,241.9,,2.2,,ALPHA GRAPHIC INDIA LTD.,,,,11760,20130331,,,0.1,,,,,242.7,,
,12,52.7,,0.1,,ALPHA HI-TECH FUEL LTD.,,,,11764,20130331,,,-10.2,,,,,48.7,,
0.4,12,557.35,,15.3,,ALPHAGEO (INDIA) LTD.,-0.1,,8.1,11853,20130331,-152.3,-0.4,-99.5,-151.8,,87.9,,571.4,,
,12,30.85,,,,ALPINE CAPITAL SERVICES LTD.,,,,11885,20130331,,,0.3,,,,,31.2,,
1.2,12,1284.35,0.0,35.1,,ALPINE HOUSING DEVP. CORPN. LTD.,0.4,0.1,,11905,20130331,-0.2,0.4,11.2,0.1,,307.2,,1252.3,,-1.2
9.3,12,10941.3,3.7,1159.6,,ALPS INDUSTRIES LTD.,2.2,,,11955,20130331,-0.1,4.0,-1153.0,-9.5,,7096.2,0.8,10931.1,,-1.3
0.0,12,35.35,,-3.2,,ALPS MOTOR FINANCE LTD.,,,,11961,20130331,0.2,0.2,0.1,,,8.6,,31.7,,
,12,2.7,,,,ALSA MARINE & HARVESTS LTD.,,,,11990,20130630,,,,,,,,2.7,,
,12,44730.1,-44.2,4123.7,,G E T & D INDIA LTD.,30.5,,193.8,12007,20130331,271.5,37.7,841.1,244.4,301.3,33318.5,,46977.3,,-0.3
,12,32151.75,45.4,373.0,,G E POWER INDIA LTD.,,,0.0,12011,20130331,1135.7,51.2,1837.3,903.7,,28678.2,15.4,32597.5,,1.0
,12,177.25,0.0,0.9,,ALUFLUORIDE LTD.,,,,12108,20130331,1.5,,7.8,1.5,,301.2,,185.9,,
,12,170.75,0.0,3.4,,ALUMINIUM INDUSTRIES LTD.,0.3,,,12131,20130331,1.5,,-126.4,1.2,0.5,127.5,,170.7,,
