sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
6.8,12,2263.65,-5.5,662.2,,A V T NATURAL PRODUCTS LTD.,,,2.0,3335,20140331,72.3,1.0,510.3,78.2,37.3,2744.1,,2388.5,,-0.7
0.2,12,737.15,,-6.8,,PRISM INFORMATICS LTD.,0.0,,,3704,20140331,,,-43.5,,,209.9,,721.3,,
,12,210.85,,35.2,,JAINEX AAMCOL LTD.,0.2,,0.0,3737,20140331,3.2,0.2,-0.4,2.8,,123.2,,211.8,,
0.0,12,1070.0,0.0,-14.2,,AAREY DRUGS & PHARMACEUTICALS LTD.,0.0,,,3889,20140331,9.2,0.1,10.5,9.1,,1998.5,,1068.9,,
7.9,12,7847.3,290.8,954.3,,AARTI DRUGS LTD.,,,9.2,3990,20140331,1020.8,-6.6,617.1,634.2,59.1,10443.5,,8497.3,,6.9
42.7,12,23188.85,172.2,2922.4,,AARTI INDUSTRIES LTD.,,,21.8,3998,20140331,2156.4,23.4,1487.0,1851.5,104.4,28233.5,,25648.8,,12.5
0.6,12,7720.95,95.8,683.8,,AARVEE DENIMS & EXPORTS LTD.,0.2,3.6,1.8,4024,20140331,369.3,41.6,31.8,228.1,,6856.4,,7941.1,,0.0
,12,6.6,,,,AASHEESH SECURITIES LTD.,,,,4053,20140331,,,-0.1,,,,,6.6,,
,12,16.8,,-0.7,,AASWA TRADING & EXPORTS LTD.,,,,4132,20140331,0.1,,0.3,,,26.0,,16.9,,0.1
,12,0.6,,,,ABACUS COMPUTERS LTD.,,,,4210,20140331,,,-0.3,,,0.7,,0.9,,
5.4,12,40791.2,,4247.3,,ABAN OFFSHORE LTD.,,,32.4,4253,20140331,2453.2,3.3,1804.3,2449.6,,8202.5,,39394.7,,0.3
0.1,12,77.05,,0.1,,ABHIJIT TRADING CO. LTD.,0.0,,,4483,20140331,,,0.1,,,,,77.1,,
0.0,12,158.5,,-18.6,,ABHINAV CAPITAL SERVICES LTD.,,,,4581,20140331,0.5,,0.5,,,,,160.7,,0.5
,12,64.5,,5.8,,ABHINAV LEASING & FINANCE LTD.,,,,4589,20140331,,,0.1,,,,0.0,59.8,,
1284.3,12,19212.65,2.2,1371.3,,RADICO KHAITAN LTD.,,,,4671,20140331,769.4,3.7,712.6,758.5,,30381.5,17.0,20392.7,,-13.4
,12,2903.4,,913.2,,ABHISHEK CORPORATION LTD.,,,,4680,20140331,,,-817.2,0.0,,224.2,,2921.7,,
237.2,12,33845.8,80.4,7468.5,,TRIDENT LTD.,2.8,,45.2,4709,20140331,822.7,-12.0,1970.3,634.7,,39095.2,1.5,33514.7,,19.3
0.1,12,85.35,1.7,-2.2,,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,,0.0,,4831,20140331,3.7,2.0,3.0,,,3.5,,87.1,,
,12,3331.4,,-83.1,,ACCEL FRONTLINE LTD.,35.5,,,5003,20140331,74.5,-0.8,24.5,0.1,,2970.8,40.8,3401.6,,2.1
0.1,12,2557.85,,,,ACCURATE TRANSFORMERS LTD.,0.0,,,5206,20140331,10.4,,8.5,10.4,,2030.9,,2570.8,,0.0
0.1,12,154.9,0.5,-0.3,,ACE SOFTWARE EXPORTS LTD.,1.2,,,5284,20140331,2.4,0.4,6.1,,,47.7,0.3,158.1,,
,12,856.3,1.0,-20.5,,ACKNIT INDUSTRIES LTD.,0.3,0.4,,5396,20140331,20.2,8.7,24.6,8.0,,1353.4,,947.0,,1.8
9.6,12,9285.5,,-146.0,,PROVOGUE (INDIA) LTD.,0.3,,65.0,5417,20140331,-31.1,-33.7,9.3,,,6052.5,-5.4,9200.3,,-3.8
0.1,12,121.1,0.0,-7.0,,ACROW INDIA LTD.,,,0.0,5568,20140331,0.9,,-6.5,0.9,,0.4,,116.3,,
33.1,12,865.95,17.1,68.3,,ACRYSIL LTD.,,,2.9,5574,20140331,72.2,10.2,79.8,47.1,0.3,1036.4,2.7,969.1,,0.1
1.5,12,351.2,0.0,4.9,,ACTION FINANCIAL SERVICES (INDIA) LTD.,0.0,,6.4,5596,20140331,1.4,-0.7,3.6,,,0.1,2.1,367.2,,
,12,1212.6,,174.5,,AD-MANUM FINANCE LTD.,,,1.1,5695,20140331,1.5,1.6,51.0,,,13.2,0.0,1141.6,,-0.1
,12,215206.45,10.4,3870.3,,ADANI ENTERPRISES LTD.,15.3,-5.3,78.2,5747,20140331,103.0,7.8,-1525.3,-6.7,,117864.4,29.7,226898.1,,20.1
,12,394722.65,993.7,33858.9,,ADANI POWER LTD.,21.9,,8297.7,5757,20140331,17476.9,48.1,5952.6,16325.5,,100262.9,25.0,409611.4,,3.2
0.3,12,2650.95,0.0,277.7,,VIKAS GRANARIES LTD.,,,,5802,20140331,,,6.4,0.0,,1403.9,,2725.1,,0.0
,12,68.3,,-16.5,,ADARSH MERCANTILE LTD.,,,,5838,20140331,,,0.3,,,3.2,,65.4,,
,12,84.6,,5.0,,ADARSH PLANT PROTECT LTD.,,0.1,0.0,5843,20140331,0.1,,-4.1,0.0,,83.8,,80.5,,0.0
,12,33.95,,0.5,,ADCON CAPITAL SERVICES LTD.,,,,5888,20140331,,,0.6,,,,,34.2,,
,12,199.9,,-6.3,,ADDI INDUSTRIES LTD.,0.0,0.0,0.0,5921,20140331,-2.2,,-6.5,-2.2,,6.6,,195.5,,0.0
,12,261.9,,-11.3,,ACIL COTTON INDS. LTD.,,,,5994,20140331,,,0.1,,,5.3,,270.8,,
0.1,12,58.75,,-0.4,,ADHARSHILA CAPITAL SERVICES LTD.,,,,6011,20140331,,,0.1,,,,,58.8,,
0.1,12,992.4,,94.6,,ADHBHUT INFRASTRUCTURE LTD.,,,,6016,20140630,,,2.8,,,10.3,,610.9,,
,12,4.15,,0.2,,ADI RASAYAN LTD.,,,,6097,20140331,,,0.2,,,,,2.0,,
,12,70.4,,2.5,,ADINATH EXIM RESOURCES LTD.,,,,6136,20140331,,,1.4,,,,,71.2,,
0.1,12,46.85,,-2.7,,ADINATH TEXTILES LTD.,,,,6166,20140331,0.1,,2.2,,,9.2,,46.0,,0.1
,12,31.8,,-0.1,,BLUE CLOUD SOFTECH SOLUTIONS LTD.,,0.0,0.0,6226,20140331,,,0.3,0.0,,6.2,,31.9,,
,12,134.25,0.0,4.0,,ADITYA FORGE LTD.,0.0,0.0,0.0,6342,20140331,1.5,0.1,-2.8,1.4,,197.7,,135.8,,
0.0,12,11.45,,-1.2,,ARIS INTERNATIONAL LTD.,,,,6347,20140331,,,-0.7,,,0.2,,13.9,,
,12,167.25,1.2,-23.7,,ADITYA ISPAT LTD.,,0.3,,6348,20140331,16.9,,2.8,13.9,,327.8,,189.9,,1.5
,12,370.95,,,,ADITYA INTERNATIONAL LTD.,,,,6364,20140331,,,0.4,,,39.2,,387.4,,
,12,321.55,0.0,24.6,,NITIN CASTINGS LTD.,,,,6374,20140331,-2.7,,8.9,0.6,,407.6,,297.0,,-3.3
,12,45.7,0.0,1.2,,ADITYA MILLS LTD.,,,,6385,20140331,1.0,,3.8,,,13.1,,54.9,,1.0
0.1,12,174.8,0.0,-1.1,,ADITYA SPINNERS LTD.,0.0,,,6431,20140331,,,11.0,0.0,,422.8,,191.2,,
3.0,12,,,0.2,,ADITYA VISION LTD.,1.8,,,6456,20140331,7.9,1.1,7.0,,,1245.3,,236.5,,5.0
186.4,18,18414.6,39.9,-237.9,,RELIANCE MEDIAWORKS LTD.,,,,6484,20140331,935.4,249.5,-10942.1,637.6,,8074.8,9.4,18414.6,,-1.0
,12,1193.4,35.5,63.5,,ADOR FONTECH LTD.,1.4,0.0,0.0,6584,20140331,42.7,0.5,127.7,4.7,,1476.7,,1204.4,,0.6
0.1,12,69.35,0.6,0.5,,ADOR MULTIPRODUCTS LTD.,,,,6585,20140331,1.6,0.1,-10.6,0.5,,114.1,,70.6,,
,12,97.6,,,,ADVANCE BIO-COAL (INDIA) LTD.,,,,6697,20140331,,,,,,,,97.6,,
,12,160.1,,14.5,,ADVANCE MULTITECH LTD.,,,,6767,20140331,,,2.3,,,90.3,,185.6,,
0.3,12,66.4,0.0,-7.5,,ADVANCE PETROCHEMICALS LTD.,0.1,,,6773,20140331,1.7,,1.2,1.3,,138.9,,69.9,,0.3
0.1,12,266.45,0.5,,,ADVANCE SYNTEX LTD.,,,0.0,6793,20140331,11.0,0.5,11.0,10.0,,387.0,,292.8,,
,12,2320.05,0.9,127.8,,ADVANCED ENZYME TECHNOLOGIES LTD.,1.3,,0.0,6819,20140331,53.2,6.1,86.1,41.3,92.6,1335.3,,2286.3,,3.4
0.4,12,638.9,-13.8,-99.2,,ADVANCED MICRONIC DEVICES LTD.,,,0.0,6871,20140331,-24.3,-8.2,-85.4,,,126.7,,580.0,,-1.4
8.9,12,650.9,78.7,89.7,,ADVANI HOTELS & RESORTS (INDIA) LTD.,,,,6916,20140331,114.9,13.0,22.6,16.8,,397.7,0.1,689.3,,6.3
9.2,12,2949.75,5.2,304.0,,ADOR WELDING LTD.,,2.2,0.0,6923,20140331,39.4,-2.8,42.3,29.5,29.6,4064.7,15.7,3090.5,,-9.1
,12,8425.45,0.0,-376.7,,ADVANTA LTD. [MERGED],,,0.1,6926,20141231,22.1,3.2,-51.7,18.0,126.0,843.9,,7511.5,,0.9
0.0,12,169.65,,0.0,,ADVENT COMPUTER SERVICES LTD.,,,,6953,20140331,,,0.0,,,2.6,,169.7,,
0.1,12,321.3,,46.1,,ADVIK LABORATORIES LTD.,,,,7002,20140331,2.5,,4.6,2.1,,302.7,,348.1,,0.4
0.8,12,5747.9,12.9,326.4,,AEGIS LOGISTICS LTD.,,,,7068,20140331,669.3,45.5,194.1,609.3,,3700.3,1.9,6028.3,,-0.3
,12,958.3,0.4,102.5,,LUDLOW JUTE & SPECIALITIES LTD.,,,11.6,7077,20140331,59.0,1.3,26.8,58.9,,2777.6,,997.2,,-1.6
,12,6101.45,,-1.1,,AFTEK LTD.,0.0,,0.0,7294,20140331,-725.2,,-183.3,0.0,,757.4,,6025.6,,
0.1,12,207.7,,-10.7,,WAGEND INFRA VENTURE LTD.,,,,7447,20140331,,,6.5,,,,,189.9,,
,12,7511.7,0.1,287.1,,SHIRPUR GOLD REFINERY LTD.,1.9,0.2,,7633,20140331,15.4,1.1,58.0,12.1,,17392.2,,7943.5,,
,12,307.6,,66.6,,AGRI-TECH (INDIA) LTD.,,,6.6,8083,20140331,-1.2,,2.3,1.8,,0.7,,334.1,,0.0
0.7,12,687.85,,,,AGRIMAS CHEMICALS LTD.,0.3,,,8122,20140331,7.9,0.4,23.7,2.0,,1506.4,,734.2,,5.2
,12,11.2,,-0.1,,AGRO CHEM PUNJAB LTD.,,,,8150,20140331,,,,,,,,11.2,,
,12,4623.3,-3.9,691.0,,AGRO DUTCH INDS. LTD.,,,44.4,8153,20140331,7.3,0.0,-623.9,11.2,,117.5,,4610.8,,
314.8,12,3609.25,141.9,353.9,,AGRO TECH FOODS LTD.,0.0,0.0,0.0,8183,20140331,223.0,,430.8,0.0,33.3,7625.8,79.0,3867.1,,-4.6
0.2,12,,,,,AHIMSA INDUSTRIES LTD.,0.0,,0.0,8280,20140331,,,1.7,0.0,,215.4,,228.7,,0.0
0.2,12,1213.95,12.9,185.2,,AHLCON PARENTERALS (INDIA) LTD.,,,0.0,8306,20140331,66.3,1.7,195.0,54.4,2.8,1333.0,-2.6,1449.5,,-0.1
0.5,12,10475.6,-9.8,284.3,,AHLUWALIA CONTRACTS (INDIA) LTD.,0.6,,143.0,8312,20140331,33.2,5.1,217.5,37.6,,9603.5,1.7,10540.0,,0.5
0.0,12,993.2,0.0,35.3,,ADVANCE LIFESTYLES LTD.,0.0,,,8336,20140331,,,-3.0,,,,,1080.6,,
,12,86.15,0.0,4.4,,EXCEL CASTRONICS LTD.,,,,8360,20140331,,,4.5,,,39.9,,87.7,,
0.3,12,274.55,,12.1,,AHMEDABAD STEELCRAFT LTD.,0.0,,,8378,20140331,,,18.1,,,118.3,,284.3,,0.0
0.6,12,38848.7,732.1,3308.3,,METALYST FORGINGS LTD.,16.1,,14.3,8392,20140930,9003.5,215.7,1930.9,7574.7,,23970.4,,42139.4,,6.4
,12,31.6,,,,AHURA WELDING ELECTRODE MFRS. LTD.,,,,8468,20140331,,,-0.3,,,,,35.9,,
2.9,12,567.8,0.1,108.5,,AIMCO PESTICIDES LTD.,0.1,,1.6,8523,20140331,6.9,0.1,4.1,3.4,2.0,1414.3,,647.4,,3.2
,12,213.65,12.8,,0.2,AIRAN LTD.,2.6,,,8628,20140331,17.0,0.5,6.9,,,144.0,,228.7,,0.9
,9,0.7,,,,AIRCOMMAND INDIA LTD.,,,,8646,20140331,,,0.0,,,0.1,,,,
76.0,12,7780.25,8.1,1897.1,,AJANTA PHARMA LTD.,12.0,,6.6,8893,20140331,395.5,21.6,2208.6,341.5,499.3,11175.7,10.8,8800.0,,1.5
0.2,12,844.6,1.4,228.5,,AJANTA SOYA LTD.,,0.0,,8909,20140331,2.6,0.3,14.0,1.4,,4751.9,,952.0,,-0.5
0.9,12,231.8,,25.3,,AJCON GLOBAL SERVICES LTD.,0.1,0.2,,9167,20140331,3.5,3.1,2.6,,,27.7,,227.3,,0.1
,12,113.15,13.2,0.5,,AJWA FUN WORLD & RESORT LTD.,,,,9335,20140331,22.6,2.9,-3.4,6.5,,36.3,,109.0,,0.0
1.7,12,7802.4,131.2,117.6,,OPTIEMUS INFRACOM LTD.,5.1,219.4,,9395,20140331,1110.9,486.0,501.1,196.4,,40862.6,4.6,8742.5,,68.2
,12,1096.75,0.4,109.9,,AKAR TOOLS LTD.,,,0.0,9431,20140331,11.2,1.2,6.9,9.6,,1560.1,,1104.3,,0.0
1.6,12,325.5,0.5,53.3,,AKASH AGRO INDS. LTD.,,,,9457,20140331,95.6,0.1,13.7,91.2,0.2,2799.1,,346.1,,
0.3,12,860.45,3.6,,,AKASH INFRA-PROJECTS LTD.,0.1,,0.1,9505,20140331,42.3,4.7,83.3,31.5,,1408.5,,826.6,,0.0
,12,17.8,,-29.3,,AKASHDEEP METAL INDS. LTD.,0.1,,,9553,20140331,0.1,,0.3,,,,,32.3,,
,12,31907.25,,665.3,,CORE EDUCATION & TECHNOLOGIES LTD.,-31.1,0.0,,9681,20140331,-2470.0,2.7,-5010.2,,,6275.3,1.0,31986.1,,0.0
44.8,12,41909.55,0.0,2783.9,,HUBTOWN LTD.,0.5,,0.2,9780,20140331,-4.0,5.2,354.4,-5.3,,3518.8,,38707.7,,-4.4
,12,5195.85,0.0,131.7,,AKSH OPTIFIBRE LTD.,-1.5,0.0,0.0,9793,20140331,13.7,1.4,260.2,14.4,,2283.8,0.0,5361.0,,-0.6
,12,41.25,,-0.1,,ALACRITY HOUSING LTD.,,,,10133,20140331,,,-1.7,,,,,41.2,,
,12,321.65,,-96.4,,ALACRITY SECURITIES LTD.,0.0,,,10135,20140331,0.2,,2.8,,,,0.0,357.8,,0.2
0.1,12,12.55,,-0.3,,SAI JEEVADHARA FINANCE LTD.,,,,10158,20140331,,,-0.4,,,,,18.5,,
,12,6.6,,-3.1,,ALAN SCOTT INDS. LTD.,,,0.1,10220,20140331,-1.2,,0.5,,,,,7.0,,-1.2
,12,61.15,,0.0,,ALANG INDUSTRIAL GASES LTD.,,,,10229,20140331,,,-0.1,,,,,61.2,,
,12,72.9,,-7.0,,ALANG MARINE LTD.,,,,10231,20140331,,,-5.0,,,2.4,,67.9,,
110.2,12,2129.3,7.3,208.8,,ALBERT DAVID LTD.,-1.1,,0.1,10376,20140331,57.1,2.9,125.7,46.5,43.4,2992.2,0.0,2205.7,0.0,1.5
0.5,12,1807.3,2.5,-72.6,,RHODIA SPECIALTY CHEMICALS INDIA LTD.,2.2,,1.9,10397,20140331,58.8,4.8,-67.7,49.3,,2958.0,0.0,1892.2,,0.0
9.8,12,3348.75,1.1,-89.8,,SHRENO LTD.,,,9.7,10564,20140331,45.6,1.5,-28.5,11.9,0.4,1353.4,,4292.1,,31.3
,12,3888.15,0.0,-102.3,,ALEMBIC LTD.,,,3.9,10566,20140331,0.6,0.2,295.3,0.4,23.2,1605.4,,3956.8,,
,12,293.3,,33.5,,ALFA ICA (INDIA) LTD.,-0.5,0.5,,10674,20140331,6.5,0.2,7.1,6.3,,608.4,,293.0,,0.0
,12,12387.6,18.5,2095.2,,ALFA LAVAL (INDIA) LTD.,,,29.1,10678,20141231,175.5,-3.4,1469.3,158.5,,11701.8,1.9,13220.0,,
0.4,12,352.2,,34.3,,ALFA TRANSFORMERS LTD.,-0.4,0.0,20.2,10714,20140331,-3.7,-0.3,-1.4,0.3,,289.8,,341.1,,-0.3
0.1,12,130.4,,-5.1,,ALFAVISION OVERSEAS (INDIA) LTD.,,,,10735,20140331,,,2.6,0.0,,382.6,,154.3,,
,12,302.1,1.8,12.2,,ALFRED HERBERT (INDIA) LTD.,,,,10752,20140331,2.5,,10.7,0.7,,11.2,,312.7,,
,12,122.0,,-7.4,,ALKA DIAMOND INDS. LTD.,,,,10853,20140331,,,-4.6,,,,,119.8,,
,12,116.15,,,,ALKA SECURITIES LTD.,,,,10866,20140331,,,-135.3,,,,,49.7,,
,12,455.0,,10.5,,ALKA INDIA LTD.,,,,10867,20140930,,,-15.9,,,8.0,,473.3,,
,12,1004.45,35.2,43.6,,ALKALI METALS LTD.,0.1,,9.3,10872,20140331,75.3,1.4,-19.6,30.7,10.4,698.5,7.1,1014.9,,0.8
,12,41634.35,368.1,2643.8,,ALKEM LABORATORIES LTD.,,,,10884,20140331,1189.1,60.0,4441.1,703.3,1529.1,27815.2,10.0,42652.5,,21.3
,12,3949.65,2.2,459.5,,ALKYL AMINES CHEMICALS LTD.,,0.3,0.5,10903,20140331,355.6,6.3,428.8,228.2,39.7,4808.7,,4277.6,,-1.5
355.8,12,2115776.65,277.9,,,ALLAHABAD BANK,,,0.5,11019,20140331,1464.5,1084.7,11720.2,,,,101.9,2204342.9,,
,12,21273.25,116.2,,,ALLCARGO LOGISTICS LTD.,10.1,,16.4,11063,20140331,1321.8,26.6,561.2,59.8,,9723.1,19.2,21099.3,,709.7
,12,519.0,,8.1,,AVONMORE CAPITAL & MGMT. SERVICES LTD.,,,,11259,20140331,,,1.7,,,,,603.0,,
,12,1603.25,0.0,-99.1,,ALMONDZ GLOBAL SECURITIES LTD.,-0.8,,0.0,11262,20140331,-9.7,-4.5,58.4,,,83.9,0.0,1653.0,,0.0
,12,536.45,,42.7,,RAP MEDIA LTD.,,,,11284,20140331,,,-1.1,,,18.3,,519.7,,
9.3,12,8359.6,50.0,77.3,,ALLIED DIGITAL SERVICES LTD.,1.7,,,11303,20140331,170.2,22.4,128.1,,,1537.2,0.0,8365.6,,0.0
,12,1311.8,,121.6,,ALLSEC TECHNOLOGIES LTD.,-28.2,,,11443,20140331,-16.9,-4.9,54.3,,,1067.4,15.3,1338.3,,0.9
0.2,12,569.85,,-9.8,,ALLSOFT CORPORATION LTD.,0.0,-0.4,,11445,20140331,-0.4,,-0.7,,,139.0,,562.2,,0.0
0.0,12,21.5,,-12.0,,ALNA TRADING & EXPORTS LTD.,,,,11554,20140331,,,0.2,,,23.1,,26.5,,
,12,3.1,,-0.1,,ALORA TRADING CO. LTD.,,,,11654,20140331,,,0.3,,,,,2.8,,
,12,1256.35,,80.6,,ALPA LABORATORIES LTD.,0.4,,,11664,20140331,32.8,11.4,-51.5,21.0,,604.5,,1267.0,,
,12,250.7,,-1.0,,ALPHA GRAPHIC INDIA LTD.,,,,11760,20140331,,,0.1,,,4.1,,258.7,,
,12,47.85,,0.5,,ALPHA HI-TECH FUEL LTD.,,,,11764,20140331,,,-2.0,,,,,47.0,,
0.4,12,655.0,,23.6,,ALPHAGEO (INDIA) LTD.,0.7,0.1,2.3,11853,20140331,108.0,1.2,112.6,106.0,,444.1,,738.6,,
1.9,12,1227.5,42.4,385.5,,ALPINE HOUSING DEVP. CORPN. LTD.,0.8,0.0,0.0,11905,20140331,68.4,1.0,14.9,0.3,,391.9,,1202.7,,0.8
10.2,12,10939.45,6.0,1140.0,,ALPS INDUSTRIES LTD.,2.7,,,11955,20140331,60.8,4.6,-1176.6,52.8,,8161.6,0.8,10947.8,,-6.1
0.1,12,87.3,,9.4,,ALPS MOTOR FINANCE LTD.,,,,11961,20140331,,,0.2,,,22.4,,142.9,,
,12,49984.95,245.2,-1461.8,,G E T & D INDIA LTD.,22.7,,1.1,12007,20140331,949.5,103.7,1170.2,579.4,266.9,37107.8,,53001.8,,-0.3
,12,35063.05,62.3,3740.4,,G E POWER INDIA LTD.,,,1169.0,12011,20140331,464.8,5.8,2306.5,408.7,,26408.4,10.0,37650.0,,0.2
,12,191.65,0.3,10.7,,ALUFLUORIDE LTD.,,,,12108,20140331,3.4,,9.7,3.1,,338.3,,197.4,,
,12,211.05,1.8,0.4,,ALUMINIUM INDUSTRIES LTD.,0.5,,,12131,20140331,2.5,0.1,-64.5,0.1,1.1,168.2,,251.4,,
0.3,12,84.75,,-28.1,,AMAL LTD.,,,,12258,20140331,0.4,-0.9,29.2,1.3,,205.4,,78.3,,0.0
,12,8.7,,0.0,,AMALGAMATED ELECTRICITY CO. LTD.,,,,12281,20140331,,,-0.1,,,,,8.6,,
,12,22.0,,-0.3,,AMANI TRADING & EXPORTS LTD.,,,,12379,20140331,,,0.5,,,30.0,,22.4,,
0.1,12,43.2,,-1.0,,AMAR VANIJYA LTD.,,,,12506,20140331,-0.6,,-0.5,,,,,42.4,,-0.6
